0.000000e+00, -8.081310e-01
5.000000e-02, -7.995888e-01
1.000000e-01, -7.890577e-01
1.500000e-01, -7.765651e-01
2.000000e-01, -7.621436e-01
2.500000e-01, -7.458308e-01
3.000000e-01, -7.276688e-01
3.500000e-01, -7.077044e-01
4.000000e-01, -6.859891e-01
4.500000e-01, -6.625785e-01
5.000000e-01, -6.375327e-01
5.500000e-01, -6.109153e-01
6.000000e-01, -5.827943e-01
6.500000e-01, -5.532407e-01
7.000000e-01, -5.223293e-01
7.500000e-01, -4.901378e-01
8.000000e-01, -4.567471e-01
8.500000e-01, -4.222404e-01
9.000000e-01, -3.867036e-01
9.500000e-01, -3.502249e-01
1.000000e+00, -3.128942e-01
1.050000e+00, -2.748035e-01
1.100000e+00, -2.360460e-01
1.150000e+00, -1.967166e-01
1.200000e+00, -1.569109e-01
1.250000e+00, -1.167258e-01
1.300000e+00, -7.625854e-02
1.350000e+00, -3.560722e-02
1.400000e+00, 5.129946e-03
1.450000e+00, 4.585453e-02
1.500000e+00, 8.646813e-02
1.550000e+00, 1.268726e-01
1.600000e+00, 1.669701e-01
1.650000e+00, 2.066635e-01
1.700000e+00, 2.458564e-01
1.750000e+00, 2.844533e-01
1.800000e+00, 3.223599e-01
1.850000e+00, 3.594832e-01
1.900000e+00, 3.957320e-01
1.950000e+00, 4.310167e-01
2.000000e+00, 4.652499e-01
2.050000e+00, 4.983462e-01
2.100000e+00, 5.302228e-01
2.150000e+00, 5.607999e-01
2.200000e+00, 5.900003e-01
2.250000e+00, 6.177500e-01
2.300000e+00, 6.439787e-01
2.350000e+00, 6.686195e-01
2.400000e+00, 6.916093e-01
2.450000e+00, 7.128892e-01
2.500000e+00, 7.324045e-01
2.550000e+00, 7.501048e-01
2.600000e+00, 7.659443e-01
2.650000e+00, 7.798819e-01
2.700000e+00, 7.918813e-01
2.750000e+00, 8.019112e-01
2.800000e+00, 8.099452e-01
2.850000e+00, 8.159620e-01
2.900000e+00, 8.199457e-01
2.950000e+00, 8.218851e-01
3.000000e+00, 8.217748e-01
3.050000e+00, 8.196141e-01
3.100000e+00, 8.154080e-01
3.150000e+00, 8.091662e-01
3.200000e+00, 8.009040e-01
3.250000e+00, 7.906416e-01
3.300000e+00, 7.784043e-01
3.350000e+00, 7.642225e-01
3.400000e+00, 7.481314e-01
3.450000e+00, 7.301709e-01
3.500000e+00, 7.103859e-01
3.550000e+00, 6.888257e-01
3.600000e+00, 6.655441e-01
3.650000e+00, 6.405992e-01
3.700000e+00, 6.140533e-01
3.750000e+00, 5.859727e-01
3.800000e+00, 5.564275e-01
3.850000e+00, 5.254917e-01
3.900000e+00, 4.932424e-01
3.950000e+00, 4.597604e-01
4.000000e+00, 4.251292e-01
4.050000e+00, 3.894354e-01
4.100000e+00, 3.527682e-01
4.150000e+00, 3.152193e-01
4.200000e+00, 2.768825e-01
4.250000e+00, 2.378537e-01
4.300000e+00, 1.982304e-01
4.350000e+00, 1.581116e-01
4.400000e+00, 1.175975e-01
4.450000e+00, 7.678961e-02
4.500000e+00, 3.578973e-02
4.550000e+00, -5.299595e-03
4.600000e+00, -4.637568e-02
4.650000e+00, -8.733585e-02
4.700000e+00, -1.280777e-01
4.750000e+00, -1.684995e-01
4.800000e+00, -2.085001e-01
4.850000e+00, -2.479796e-01
4.900000e+00, -2.868392e-01
4.950000e+00, -3.249819e-01
5.000000e+00, -3.623124e-01
5.050000e+00, -3.987373e-01
5.100000e+00, -4.341656e-01
5.150000e+00, -4.685088e-01
5.200000e+00, -5.016810e-01
5.250000e+00, -5.335994e-01
5.300000e+00, -5.641841e-01
5.350000e+00, -5.933589e-01
5.400000e+00, -6.210507e-01
5.450000e+00, -6.471905e-01
5.500000e+00, -6.717130e-01
5.550000e+00, -6.945570e-01
5.600000e+00, -7.156655e-01
5.650000e+00, -7.349859e-01
5.700000e+00, -7.524700e-01
5.750000e+00, -7.680743e-01
5.800000e+00, -7.817602e-01
5.850000e+00, -7.934936e-01
5.900000e+00, -8.032456e-01
5.950000e+00, -8.109922e-01
6.000000e+00, -8.167145e-01
6.050000e+00, -8.203988e-01
6.100000e+00, -8.220364e-01
6.150000e+00, -8.216240e-01
6.200000e+00, -8.191634e-01
6.250000e+00, -8.146617e-01
