     0.00002    29.91699     0.14958
     0.00010     7.47833     0.07478
     0.00022     3.32302     0.04985
     0.00040     1.86865     0.03737
     0.00062     1.19549     0.02989
     0.00090     0.82982     0.02489
     0.00123     0.60933     0.02133
     0.00160     0.46623     0.01865
     0.00202     0.36812     0.01657
     0.00250     0.29795     0.01490
     0.00302     0.24602     0.01353
     0.00360     0.20653     0.01239
     0.00422     0.17580     0.01143
     0.00490     0.15141     0.01060
     0.00562     0.13174     0.00988
     0.00640     0.11564     0.00925
     0.00723     0.10229     0.00869
     0.00810     0.09111     0.00820
     0.00903     0.08165     0.00776
     0.01000     0.07357     0.00736
     0.01102     0.06661     0.00699
     0.01210     0.06059     0.00666
     0.01322     0.05533     0.00636
     0.01440     0.05072     0.00609
     0.01562     0.04665     0.00583
     0.01690     0.04304     0.00559
     0.01822     0.03982     0.00538
     0.01960     0.03694     0.00517
     0.02102     0.03435     0.00498
     0.02250     0.03202     0.00480
     0.02403     0.02991     0.00464
     0.02560     0.02800     0.00448
     0.02722     0.02626     0.00433
     0.02890     0.02467     0.00419
     0.03062     0.02321     0.00406
     0.03240     0.02187     0.00394
     0.03423     0.02064     0.00382
     0.03610     0.01951     0.00371
     0.03802     0.01846     0.00360
     0.04000     0.01749     0.00350
     0.04202     0.01659     0.00340
     0.04410     0.01576     0.00331
     0.04622     0.01498     0.00322
     0.04840     0.01425     0.00314
     0.05062     0.01357     0.00305
     0.05290     0.01294     0.00298
     0.05522     0.01235     0.00290
     0.05760     0.01179     0.00283
     0.06002     0.01127     0.00276
     0.06250     0.01077     0.00269
     0.06502     0.01031     0.00263
     0.06760     0.00987     0.00257
     0.07022     0.00946     0.00251
     0.07290     0.00907     0.00245
     0.07563     0.00870     0.00239
     0.07840     0.00836     0.00234
     0.08123     0.00803     0.00229
     0.08410     0.00771     0.00224
     0.08702     0.00742     0.00219
     0.09000     0.00713     0.00214
     0.09303     0.00687     0.00209
     0.09610     0.00661     0.00205
     0.09922     0.00637     0.00201
     0.10240     0.00613     0.00196
     0.10562     0.00591     0.00192
     0.10890     0.00570     0.00188
     0.11222     0.00550     0.00184
     0.11560     0.00531     0.00180
     0.11902     0.00512     0.00177
     0.12250     0.00495     0.00173
     0.12602     0.00478     0.00170
     0.12960     0.00462     0.00166
     0.13322     0.00446     0.00163
     0.13690     0.00431     0.00160
     0.14062     0.00417     0.00156
     0.14440     0.00403     0.00153
     0.14822     0.00390     0.00150
     0.15210     0.00378     0.00147
     0.15602     0.00366     0.00144
     0.16000     0.00354     0.00142
     0.16402     0.00343     0.00139
     0.16810     0.00332     0.00136
     0.17222     0.00321     0.00133
     0.17640     0.00311     0.00131
     0.18062     0.00302     0.00128
     0.18490     0.00292     0.00126
     0.18923     0.00283     0.00123
     0.19360     0.00275     0.00121
     0.19802     0.00266     0.00118
     0.20250     0.00258     0.00116
     0.20702     0.00250     0.00114
     0.21160     0.00243     0.00112
     0.21622     0.00235     0.00109
     0.22090     0.00228     0.00107
     0.22562     0.00221     0.00105
     0.23040     0.00215     0.00103
     0.23522     0.00208     0.00101
     0.24010     0.00202     0.00099
     0.24502     0.00196     0.00097
     0.25000     0.00190     0.00095
     0.25502     0.00185     0.00093
     0.26010     0.00179     0.00091
     0.26522     0.00174     0.00090
     0.27040     0.00169     0.00088
     0.27562     0.00164     0.00086
     0.28090     0.00159     0.00084
     0.28622     0.00154     0.00083
     0.29160     0.00150     0.00081
     0.29703     0.00145     0.00079
     0.30250     0.00141     0.00078
     0.30803     0.00137     0.00076
     0.31360     0.00133     0.00075
     0.31922     0.00129     0.00073
     0.32490     0.00125     0.00071
     0.33062     0.00122     0.00070
     0.33640     0.00118     0.00068
