10.000000 0.000000
9.999999 0.006283
9.999998 0.012566
9.999995 0.018850
9.999991 0.025133
9.999985 0.031416
9.999979 0.037699
9.999971 0.043982
9.999962 0.050266
9.999952 0.056549
9.999941 0.062832
9.999928 0.069116
9.999915 0.075399
9.999900 0.081682
9.999884 0.087966
9.999867 0.094249
9.999848 0.100533
9.999829 0.106816
9.999808 0.113100
9.999786 0.119384
9.999763 0.125667
9.999739 0.131951
9.999713 0.138235
9.999687 0.144519
9.999659 0.150803
9.999630 0.157087
9.999600 0.163371
9.999568 0.169655
9.999536 0.175939
9.999502 0.182223
9.999467 0.188508
9.999431 0.194792
9.999394 0.201077
9.999355 0.207361
9.999315 0.213646
9.999275 0.219931
9.999232 0.226216
9.999189 0.232501
9.999145 0.238786
9.999099 0.245071
9.999052 0.251357
9.999004 0.257642
9.998955 0.263927
9.998905 0.270213
9.998853 0.276499
9.998801 0.282785
9.998747 0.289071
9.998692 0.295357
9.998635 0.301643
9.998578 0.307930
9.998519 0.314216
9.998460 0.320503
9.998398 0.326790
9.998336 0.333077
9.998273 0.339364
9.998208 0.345651
9.998143 0.351938
9.998076 0.358226
9.998008 0.364514
9.997938 0.370801
9.997868 0.377089
9.997796 0.383378
9.997723 0.389666
9.997649 0.395954
9.997574 0.402243
9.997497 0.408532
9.997420 0.414821
9.997341 0.421110
9.997261 0.427400
9.997180 0.433689
9.997097 0.439979
9.997014 0.446269
9.996929 0.452559
9.996843 0.458850
9.996756 0.465140
9.996668 0.471431
9.996578 0.477722
9.996488 0.484013
9.996396 0.490304
9.996303 0.496596
9.996209 0.502888
9.996113 0.509180
9.996017 0.515472
9.995919 0.521765
9.995820 0.528057
9.995720 0.534350
9.995618 0.540643
9.995516 0.546937
9.995412 0.553231
9.995307 0.559524
9.995201 0.565819
9.995094 0.572113
9.994985 0.578408
9.994876 0.584702
9.994765 0.590998
9.994653 0.597293
9.994540 0.603589
9.994425 0.609885
9.994309 0.616181
9.994193 0.622477
9.994075 0.628774
9.993956 0.635071
9.993835 0.641368
9.993714 0.647666
9.993591 0.653964
9.993467 0.660262
9.993342 0.666560
9.993216 0.672859
9.993088 0.679158
9.992959 0.685457
9.992830 0.691757
9.992698 0.698057
9.992566 0.704357
9.992433 0.710657
9.992298 0.716958
9.992162 0.723259
9.992025 0.729561
9.991887 0.735862
9.991748 0.742164
9.991607 0.748467
9.991465 0.754770
9.991322 0.761073
9.991178 0.767376
9.991033 0.773680
9.990886 0.779984
9.990739 0.786288
9.990590 0.792593
9.990440 0.798898
9.990288 0.805203
9.990136 0.811509
9.989982 0.817815
9.989827 0.824122
9.989671 0.830429
9.989514 0.836736
9.989356 0.843044
9.989196 0.849352
9.989035 0.855660
9.988873 0.861969
9.988710 0.868278
9.988545 0.874587
9.988380 0.880897
9.988213 0.887207
9.988045 0.893518
9.987876 0.899829
9.987706 0.906140
9.987534 0.912452
9.987361 0.918764
9.987187 0.925077
9.987012 0.931390
9.986836 0.937703
9.986658 0.944017
9.986479 0.950331
9.986300 0.956646
9.986118 0.962961
9.985936 0.969277
9.985753 0.975593
9.985568 0.981909
9.985382 0.988226
9.985195 0.994543
9.985007 1.000861
9.984817 1.007179
9.984627 1.013497
9.984435 1.019816
9.984242 1.026136
9.984047 1.032455
9.983852 1.038776
9.983655 1.045096
9.983457 1.051418
9.983258 1.057739
9.983058 1.064062
9.982857 1.070384
9.982654 1.076707
9.982450 1.083031
9.982245 1.089355
9.982039 1.095679
9.981832 1.102004
9.981623 1.108330
9.981413 1.114656
9.981202 1.120982
9.980990 1.127309
9.980776 1.133637
9.980562 1.139965
9.980346 1.146293
9.980129 1.152622
9.979911 1.158952
9.979691 1.165282
9.979471 1.171612
9.979249 1.177943
9.979026 1.184275
9.978802 1.190607
9.978576 1.196939
9.978350 1.203272
9.978122 1.209606
9.977893 1.215940
9.977663 1.222275
9.977432 1.228610
9.977199 1.234946
9.976965 1.241282
9.976730 1.247619
9.976494 1.253956
9.976257 1.260294
9.976018 1.266633
9.975778 1.272972
9.975537 1.279312
9.975295 1.285652
9.975051 1.291992
9.974807 1.298334
9.974561 1.304676
9.974314 1.311018
9.974066 1.317361
9.973816 1.323705
9.973566 1.330049
9.973314 1.336394
9.973061 1.342739
9.972807 1.349085
9.972551 1.355432
9.972295 1.361779
9.972037 1.368127
9.971778 1.374475
9.971517 1.380824
9.971256 1.387174
9.970993 1.393524
9.970729 1.399875
9.970464 1.406226
9.970198 1.412579
9.969931 1.418931
9.969662 1.425285
9.969392 1.431639
9.969121 1.437993
9.968848 1.444348
9.968575 1.450704
9.968300 1.457061
9.968024 1.463418
9.967747 1.469776
9.967469 1.476134
9.967189 1.482493
9.966908 1.488853
9.966626 1.495214
9.966343 1.501575
9.966059 1.507936
9.965773 1.514299
9.965486 1.520662
9.965198 1.527026
9.964909 1.533390
9.964619 1.539755
9.964327 1.546121
9.964034 1.552488
9.963740 1.558855
9.963445 1.565223
9.963148 1.571591
9.962851 1.577961
9.962552 1.584331
9.962252 1.590701
9.961950 1.597073
9.961648 1.603445
9.961344 1.609817
9.961039 1.616191
9.960733 1.622565
9.960425 1.628940
9.960117 1.635316
9.959807 1.641692
9.959496 1.648070
9.959184 1.654447
9.958870 1.660826
9.958556 1.667205
9.958240 1.673585
9.957923 1.679966
9.957604 1.686348
9.957285 1.692730
9.956964 1.699113
9.956642 1.705497
9.956319 1.711882
9.955994 1.718267
9.955669 1.724653
9.955342 1.731040
9.955014 1.737428
9.954685 1.743817
9.954354 1.750206
9.954022 1.756596
9.953689 1.762987
