1.000000e+04, 5.166152e+00, 1.000000e+04, 5.176152e+00, 1.000000e+04, 5.186152e+00, 1.000000e+04, 5.196152e+00, 1.000000e+04, 5.206152e+00, 1.000000e+04, 5.216152e+00, -4.973923e-04, -1.603981e-04
2.053255e+03, 5.166563e+00, 2.056412e+03, 5.176564e+00, 2.059567e+03, 5.186564e+00, 2.062719e+03, 5.196565e+00, 2.065869e+03, 5.206566e+00, 2.069016e+03, 5.216566e+00, 7.150705e-04, -2.418788e-03
1.144077e+03, 5.166610e+00, 1.146038e+03, 5.176611e+00, 1.147998e+03, 5.186612e+00, 1.149957e+03, 5.196612e+00, 1.151915e+03, 5.206613e+00, 1.153873e+03, 5.216614e+00, 4.363987e-03, -1.184680e-03
7.929527e+02, 5.166628e+00, 7.943657e+02, 5.176629e+00, 7.957783e+02, 5.186630e+00, 7.971904e+02, 5.196631e+00, 7.986022e+02, 5.206631e+00, 8.000135e+02, 5.216632e+00, -6.158555e-03, -2.145532e-03
6.067365e+02, 5.166638e+00, 6.078396e+02, 5.176638e+00, 6.089425e+02, 5.186639e+00, 6.100450e+02, 5.196640e+00, 6.111474e+02, 5.206641e+00, 6.122494e+02, 5.216642e+00, -6.159218e-03, -5.888604e-03
4.913455e+02, 5.166643e+00, 4.922498e+02, 5.176644e+00, 4.931540e+02, 5.186645e+00, 4.940579e+02, 5.196646e+00, 4.949617e+02, 5.206647e+00, 4.958653e+02, 5.216648e+00, 9.586565e-03, 4.334417e-03
4.128291e+02, 5.166647e+00, 4.135952e+02, 5.176648e+00, 4.143612e+02, 5.186649e+00, 4.151270e+02, 5.196650e+00, 4.158927e+02, 5.206651e+00, 4.166583e+02, 5.216652e+00, -1.164901e-02, 4.589671e-03
3.559465e+02, 5.166650e+00, 3.566109e+02, 5.176651e+00, 3.572753e+02, 5.186652e+00, 3.579396e+02, 5.196653e+00, 3.586037e+02, 5.206654e+00, 3.592678e+02, 5.216655e+00, -3.696215e-03, 1.404189e-02
3.128387e+02, 5.166652e+00, 3.134253e+02, 5.176653e+00, 3.140118e+02, 5.186654e+00, 3.145983e+02, 5.196655e+00, 3.151847e+02, 5.206656e+00, 3.157710e+02, 5.216657e+00, -1.026297e-02, 1.294518e-02
2.790424e+02, 5.166653e+00, 2.795674e+02, 5.176654e+00, 2.800924e+02, 5.186655e+00, 2.806174e+02, 5.196656e+00, 2.811423e+02, 5.206657e+00, 2.816671e+02, 5.216658e+00, 1.622488e-02, -8.928968e-03
